% Beth Kieler
% bkiel3
% 11/27/2014
%
% Title: Image Training Data
% Num of bins:  8
%
% Description:
% This is one training file for image classification to categorize images into one of seven 
% categories: Piano, Kangaroo, Strawberry, Sunflower, Airplane, Face and Leopard.  The
% data set consists of 320 training images

% Number of Attributes: 8 numeric attributes and the class
% 
% Attributes:
%    1. bin1 
%    2. bin2
%    3. bin3
%	 4. bin4
%	 5. bin5
%	 6. bin6
%	 7. bin7
%	 8. bin8
%    9. Class - Piano, Kangaroo, Strawberry, Sunflower, Airplane, Face or Leopard
%    
% Summary:
%    Piano 50   
%    Kangaroo 50   
%    Strawberry 20   
%    Sunflower 50   
%    Airplane 50   
%    Face 50   
%    Leopard 50     
%

@RELATION images

@ATTRIBUTE bin1 numeric
@ATTRIBUTE bin2 numeric
@ATTRIBUTE bin3 numeric
@ATTRIBUTE bin4 numeric
@ATTRIBUTE bin5 numeric
@ATTRIBUTE bin6 numeric
@ATTRIBUTE bin7 numeric
@ATTRIBUTE bin8 numeric
@ATTRIBUTE class {Piano,Kangaroo,Strawberry,Sunflower,Airplane,Face,Leopard}

@DATA
0.19433505833148956298828125,0.015008635818958282470703125,0.0059758205898106098175048828125,0.12868739664554595947265625,0.00060449051670730113983154296875,0.009568220935761928558349609375,0.00003454231409705244004726409912109375,0.645785808563232421875,airplane
0.16134996712207794189453125,0.000794912572018802165985107421875,0.0002937720273621380329132080078125,0.004769475199282169342041015625,0.027614571154117584228515625,0.13364899158477783203125,0.0004492984153330326080322265625,0.671078979969024658203125,airplane
0.77553546428680419921875,0.00025641024694778025150299072265625,0.0076018101535737514495849609375,0.001251885318197309970855712890625,0.0617345385253429412841796875,0.02034690789878368377685546875,0.005716440267860889434814453125,0.1275565624237060546875,airplane
0.66713106632232666015625,0.0063036275096237659454345703125,0.0041627730242908000946044921875,0.01044940948486328125,0.06402175128459930419921875,0.03551100194454193115234375,0.00023787273676134645938873291015625,0.21218247711658477783203125,airplane
0.26659452915191650390625,0.0205483399331569671630859375,0.015598845668137073516845703125,0.010331890545785427093505859375,0.0070274169556796550750732421875,0.02917748875916004180908203125,0.0005483405548147857189178466796875,0.650173187255859375,airplane
0.49675214290618896484375,0.0007521367515437304973602294921875,0.011863247491419315338134765625,0.0357948727905750274658203125,0.0049572647549211978912353515625,0.000136752132675610482692718505859375,0.00005128205157234333455562591552734375,0.449692308902740478515625,airplane
0.401312768459320068359375,0.000018386070223641581833362579345703125,0.00003677214044728316366672515869140625,0,0.12949310243129730224609375,0.00902756117284297943115234375,0.00022063284995965659618377685546875,0.459890782833099365234375,airplane
0.574868738651275634765625,0.000013123359167366288602352142333984375,0.00574803166091442108154296875,0.06187663972377777099609375,0.18112860620021820068359375,0.087165355682373046875,0.0000524934366694651544094085693359375,0.089146979153156280517578125,airplane
0.468981087207794189453125,0.008648163639008998870849609375,0.000665243365801870822906494140625,0.0107212476432323455810546875,0.03044648654758930206298828125,0.0204368941485881805419921875,0,0.4601008594036102294921875,airplane
0.485033333301544189453125,0.066183336079120635986328125,0.0007666666642762720584869384765625,0.00866666622459888458251953125,0.0434500016272068023681640625,0.11076666414737701416015625,0.0001166666697827167809009552001953125,0.28501665592193603515625,airplane
